"name","assignment","length","begin","end","species","species-score","type","type support","subtype","subtype support"
"ON631277.1","1I","10516","14","10529","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631278.1","1I","10693","8","10700","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631279.1","1I","10708","8","10715","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631280.1","1I","10690","1","10690","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631281.1","1I","10668","8","10675","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631282.1","1I","10678","10","10687","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"ON631283.1","1I","10688","8","10695","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"OQ593389.1","Unassigned","10709","9","10717","dengue virus type 1","","Could not assign","","",""
"OQ593388.1","Unassigned","10697","11","10707","dengue virus type 1","","Could not assign","","",""
"OQ593390.1","Unassigned","10702","10","10711","dengue virus type 1","","Could not assign","","",""
"OQ593393.1","Unassigned","10697","12","10708","dengue virus type 1","","Could not assign","","",""
"OQ593392.1","Unassigned","10722","8","10729","dengue virus type 1","","Could not assign","","",""
"OQ593391.1","Unassigned","10676","13","10688","dengue virus type 1","","Could not assign","","",""
"MZ130530.1","Unassigned","9869","39","9907","dengue virus type 1","","Could not assign","","",""
"MZ130531.1","Unassigned","10596","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130532.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130535.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130534.1","Unassigned","10596","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130533.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130537.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130536.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130538.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130540.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130539.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130543.1","Unassigned","10575","39","10634","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MZ130542.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130541.1","Unassigned","10595","39","10634","dengue virus type 1","","Could not assign","","",""
"MZ130546.1","Unassigned","10575","39","10634","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MZ130545.1","Unassigned","10575","39","10634","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MZ130547.1","Unassigned","10575","39","10634","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920075.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920076.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920077.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920079.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920078.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920081.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920080.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920083.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920082.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920085.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920084.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920087.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920086.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920090.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920089.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920088.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920091.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920092.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920093.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920094.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920096.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920095.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920098.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920097.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920099.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920100.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920101.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920102.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920103.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920104.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920105.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920106.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920107.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920108.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920109.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920110.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920111.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920112.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920113.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920114.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920115.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920117.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920116.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920119.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920118.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920120.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920121.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920123.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920122.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920125.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920124.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920128.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920126.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920127.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920129.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920131.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920130.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920132.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920133.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920135.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920134.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920137.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920136.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920138.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920139.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920140.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920141.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920142.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920143.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920144.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920145.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920147.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920146.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920148.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920149.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920151.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920150.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920152.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920153.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920154.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920155.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920156.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920157.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920158.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920159.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920160.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920161.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920162.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920163.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920164.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920165.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920166.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920167.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920168.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920169.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920170.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920171.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920172.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920173.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920174.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920175.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920176.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920177.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920179.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920178.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920181.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920180.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920183.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920182.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920184.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920185.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920187.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920186.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920189.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920188.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920190.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920191.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920193.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920194.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920192.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920195.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920196.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920197.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920198.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920199.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920200.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920201.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920203.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920202.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920204.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920205.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920207.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920206.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920208.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920209.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920210.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920211.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920213.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920212.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920215.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920214.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920217.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920216.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920218.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920219.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920220.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920221.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920222.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920223.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920224.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920225.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920226.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920227.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920228.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920229.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920230.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920231.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920232.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920233.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920234.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920235.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920236.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920237.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920238.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920239.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920240.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920241.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920242.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920243.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920244.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920245.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920246.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920248.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920247.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920249.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920250.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920251.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920253.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920252.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920254.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920255.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920256.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920258.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920257.1","1I","1485","935","2419","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"OM920260.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920261.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920259.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920262.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920263.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920264.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920265.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920266.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920268.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920267.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920271.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920269.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920270.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920273.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920272.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920274.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920275.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920276.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920277.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
