lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
DENV-2 Genotype II,2013-06-01,,,Tanzania,,Genotype II,2013-06-01
DENV-2 Genotype II,2014-01-01,,,Tanzania,,Genotype II,2014-01-01
DENV-2,,,,Kenya,,Unassigned,
DENV-2,,,,Kenya,,Unassigned,
DENV-2,,,,Kenya,,Unassigned,
DENV-2,2013-04-01,,,Kenya,,Unassigned,2013-04-01
DENV-2,2013-07-01,,,Kenya,,Unassigned,2013-07-01
DENV-2,2013-04-01,,,Kenya,,Unassigned,2013-04-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2015-01-01,,,Mozambique,,Genotype II,2015-01-01
DENV-2 Genotype II,2015-01-01,,,Mozambique,,Genotype II,2015-01-01
DENV-2 Genotype II,2015-01-01,,,Mozambique,,Genotype II,2015-01-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Kenya,,Unassigned,2017-01-01
DENV-2,,,,Sudan,,Unassigned,
DENV-2,,,,Sudan,,Unassigned,
DENV-2,,,,Sudan,,Unassigned,
DENV-2,,,,Sudan,,Unassigned,
DENV-2,2014-10-17,,,Kenya,,Unassigned,2014-10-17
DENV-2,2014-11-25,,,Kenya,,Unassigned,2014-11-25
DENV-2,2014-06-20,,,Kenya,,Unassigned,2014-06-20
DENV-2,2014-07-04,,,Kenya,,Unassigned,2014-07-04
DENV-2,2014-06-20,,,Kenya,,Unassigned,2014-06-20
DENV-2,2014-07-09,,,Kenya,,Unassigned,2014-07-09
DENV-2,2014-06-23,,,Kenya,,Unassigned,2014-06-23
DENV-2,2014-06-11,,,Kenya,,Unassigned,2014-06-11
DENV-2,2014-07-07,,,Kenya,,Unassigned,2014-07-07
DENV-2,,,,Morocco,,Unassigned,
DENV-2,2018-01-18,,,Angola,,Unassigned,2018-01-18
DENV-2,2018-03-01,,,Reunion,,Unassigned,2018-03-01
DENV-2,2016-05-07,,,Seychelles,,Unassigned,2016-05-07
DENV-2,2017-05-29,,,Kenya,,Unassigned,2017-05-29
DENV-2,2017-05-22,,,Kenya,,Unassigned,2017-05-22
DENV-2,2017-06-07,,,Kenya,,Unassigned,2017-06-07
DENV-2,2017-04-10,,,Kenya,,Unassigned,2017-04-10
DENV-2 Genotype IV,2015-01-01,,,Kenya,,Genotype IV,2015-01-01
DENV-2 Genotype IV,2015-06-01,,,Kenya,,Genotype IV,2015-06-01
DENV-2 Genotype IV,2015-05-01,,,Kenya,,Genotype IV,2015-05-01
DENV-2 Genotype IV,2015-06-01,,,Kenya,,Genotype IV,2015-06-01
DENV-2 Genotype IV,2015-07-01,,,Kenya,,Genotype IV,2015-07-01
DENV-2 Genotype IV,2016-01-01,,,Kenya,,Genotype IV,2016-01-01
DENV-2 Genotype IV,2016-02-01,,,Kenya,,Genotype IV,2016-02-01
DENV-2 Genotype IV,2016-01-01,,,Kenya,,Genotype IV,2016-01-01
DENV-2 Genotype IV,2016-01-01,,,Kenya,,Genotype IV,2016-01-01
DENV-2,2017-06-01,,,Kenya,,Unassigned,2017-06-01
DENV-2,2013-04-01,,,Kenya,,Unassigned,2013-04-01
DENV-2,2014-02-01,,,Kenya,,Unassigned,2014-02-01
DENV-2,2017-06-01,,,Kenya,,Unassigned,2017-06-01
DENV-2,2017-06-01,,,Kenya,,Unassigned,2017-06-01
DENV-2,2017-07-01,,,Kenya,,Unassigned,2017-07-01
DENV-2,2017-07-01,,,Kenya,,Unassigned,2017-07-01
DENV-2,2017-07-01,,,Kenya,,Unassigned,2017-07-01
DENV-2,2017-07-01,,,Kenya,,Unassigned,2017-07-01
DENV-2,2013-04-01,,,Kenya,,Unassigned,2013-04-01
DENV-2,2013-05-01,,,Kenya,,Unassigned,2013-05-01
DENV-2,2013-05-01,,,Kenya,,Unassigned,2013-05-01
DENV-2,2013-05-01,,,Kenya,,Unassigned,2013-05-01
DENV-2,2013-05-01,,,Kenya,,Unassigned,2013-05-01
DENV-2,2014-06-01,,,Kenya,,Unassigned,2014-06-01
DENV-2,2014-01-01,,,Kenya,,Unassigned,2014-01-01
DENV-2,2017-11-30,,,Mauritania,,Unassigned,2017-11-30
DENV-2,2018-10-15,,,Senegal,,Unassigned,2018-10-15
DENV-2,2018-12-13,,,Mauritania,,Unassigned,2018-12-13
DENV-2,2019-01-04,,,Senegal,,Unassigned,2019-01-04
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2014-11-01,,,Mauritania,,Unassigned,2014-11-01
DENV-2,2017-11-08,,,Mali,,Unassigned,2017-11-08
DENV-2,2019-06-30,,,Togo,,Unassigned,2019-06-30
DENV-2,2016-05-19,,,Benin,,Unassigned,2016-05-19
DENV-2,2018-10-01,,,Senegal,,Unassigned,2018-10-01
DENV-2,2018-10-01,,,Senegal,,Unassigned,2018-10-01
DENV-2,2018-10-01,,,Senegal,,Unassigned,2018-10-01
DENV-2,2018-11-01,,,Senegal,,Unassigned,2018-11-01
DENV-2 Genotype V,2019-02-03,,,Nigeria,,Genotype V,2019-02-03
DENV-2 Genotype V,2019-02-03,,,Nigeria,,Genotype V,2019-02-03
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2 Genotype V,2019-08-01,,,Nigeria,,Genotype V,2019-08-01
DENV-2,2019-09-25,,,Nigeria,,Unassigned,2019-09-25
DENV-2,2019-02-15,,,Angola,,Unassigned,2019-02-15
DENV-2,2018-07-09,,,Angola,,Unassigned,2018-07-09
DENV-2,2018-05-13,,,Angola,,Unassigned,2018-05-13
DENV-2,2018-04-22,,,Angola,,Unassigned,2018-04-22
DENV-2,2018-04-16,,,Angola,,Unassigned,2018-04-16
DENV-2,2018-03-12,,,Angola,,Unassigned,2018-03-12
DENV-2,2018-04-04,,,Angola,,Unassigned,2018-04-04
DENV-2,2018-03-31,,,Angola,,Unassigned,2018-03-31
DENV-2,2018-03-31,,,Angola,,Unassigned,2018-03-31
DENV-2,2018-04-07,,,Angola,,Unassigned,2018-04-07
DENV-2,2018-05-07,,,Angola,,Unassigned,2018-05-07
DENV-2,2018-04-24,,,Angola,,Unassigned,2018-04-24
DENV-2,2018-04-24,,,Angola,,Unassigned,2018-04-24
DENV-2,2018-04-23,,,Angola,,Unassigned,2018-04-23
DENV-2,2018-03-31,,,Angola,,Unassigned,2018-03-31
DENV-2,2018-04-07,,,Angola,,Unassigned,2018-04-07
DENV-2,2018-04-17,,,Angola,,Unassigned,2018-04-17
DENV-2,2018-05-14,,,Angola,,Unassigned,2018-05-14
DENV-2,2018-04-17,,,Angola,,Unassigned,2018-04-17
DENV-2,2018-05-15,,,Angola,,Unassigned,2018-05-15
DENV-2,2018-03-31,,,Angola,,Unassigned,2018-03-31
DENV-2,2018-05-13,,,Angola,,Unassigned,2018-05-13
DENV-2,2018-06-01,,,Angola,,Unassigned,2018-06-01
DENV-2,2018-05-20,,,Angola,,Unassigned,2018-05-20
DENV-2,2018-05-17,,,Angola,,Unassigned,2018-05-17
DENV-2,2016-06-24,,,Kenya,,Unassigned,2016-06-24
DENV-2,2016-05-04,,,Kenya,,Unassigned,2016-05-04
DENV-2,2016-05-10,,,Kenya,,Unassigned,2016-05-10
DENV-2,2016-05-04,,,Kenya,,Unassigned,2016-05-04
DENV-2 Genotype VI,1970-01-01,,,Senegal,,Genotype VI,1970-01-01
DENV-2,2019-09-25,,,Nigeria,,Unassigned,2019-09-25
DENV-2,2019-09-25,,,Nigeria,,Unassigned,2019-09-25
DENV-2,2018-01-01,,,Mauritania,,Unassigned,2018-01-01
DENV-2,2020-07-27,,,Cameroon,,Unassigned,2020-07-27
DENV-2,2020-07-28,,,Cameroon,,Unassigned,2020-07-28
DENV-2,2020-08-31,,,Cameroon,,Unassigned,2020-08-31
DENV-2,2014-07-07,,,Kenya,,Unassigned,2014-07-07
DENV-2 Genotype II,2013-01-01,,,Kenya,,Genotype II,2013-01-01
DENV-2,2013-01-01,,,Kenya,,Unassigned,2013-01-01
DENV-2 Genotype II,2014-01-01,,,Tanzania,,Genotype II,2014-01-01
DENV-2 Genotype II,2014-01-01,,,Mozambique,,Genotype II,2014-01-01
DENV-2 Genotype II,2014-01-01,,,Tanzania,,Genotype II,2014-01-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-01-01,,,Tanzania,,Genotype II,2014-01-01
DENV-2 Genotype II,2015-01-01,,,Somalia,,Genotype II,2015-01-01
DENV-2,2017-01-01,,,Eritrea,,Unassigned,2017-01-01
DENV-2,1996-01-01,,,Somalia,,Unassigned,1996-01-01
DENV-2,2017-01-01,,,Uganda,,Unassigned,2017-01-01
DENV-2,2007-01-01,,,Djibouti,,Unassigned,2007-01-01
DENV-2,2017-01-01,,,Ghana,,Unassigned,2017-01-01
DENV-2,2017-01-01,,,Ghana,,Unassigned,2017-01-01
DENV-2 Genotype II,2014-04-10,,,Tanzania,,Genotype II,2014-04-10
DENV-2 Genotype VI,1990-01-01,,,Senegal,,Genotype VI,1990-01-01
DENV-2,2020-06-24,,,Cameroon,,Unassigned,2020-06-24
DENV-2,2020-08-02,,,Cameroon,,Unassigned,2020-08-02
DENV-2,2016-01-10,,,Ethiopia,,Unassigned,2016-01-10
DENV-2,2019-06-15,,,Niger,,Unassigned,2019-06-15
DENV-2,2019-06-15,,,Niger,,Unassigned,2019-06-15
DENV-2,2019-06-15,,,Niger,,Unassigned,2019-06-15
DENV-2,2018-10-26,,,Senegal,,Unassigned,2018-10-26
DENV-2,2018-10-28,,,Senegal,,Unassigned,2018-10-28
DENV-2,2018-10-28,,,Senegal,,Unassigned,2018-10-28
DENV-2,2018-10-28,,,Senegal,,Unassigned,2018-10-28
DENV-2,2018-10-28,,,Senegal,,Unassigned,2018-10-28
DENV-2,2018-10-31,,,Senegal,,Unassigned,2018-10-31
DENV-2,2018-11-09,,,Senegal,,Unassigned,2018-11-09
DENV-2,2018-11-08,,,Senegal,,Unassigned,2018-11-08
DENV-2,2018-11-09,,,Senegal,,Unassigned,2018-11-09
